# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 11 09:24:27 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%K2%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
BD+20 594 b,BD+20 594,TIC 26123781,Gaia DR2 58200934326315136,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.150,,,0,[Fe/H],4.50,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,1.2570000,-1.2400000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490,2018-04-25,2017-03,2018-04-26
EPIC 201170410.02,EPIC 201170410,TIC 38116202,Gaia DR2 3786541956697428224,1,1,1,Transit,2020,K2,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,6.79870000,0.00010000,-0.00010000,0,0.034900,0.002700,-0.002200,0,1.047,0.276,-0.257,0,0.093,0.025,-0.023,0,,,,,,,,,,0.000000,,,0,,,,,,,,,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,3648.00,172.00,-143.00,0,0.28,0.07,-0.07,0,0.29,0.10,-0.08,0,-0.048,0.150,-0.210,0,[Fe/H],5.00,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,,,,17.6984000,0.0471000,-0.0471000,12.6190000,0.0270000,-0.0270000,16.4386000,0.0072830,-0.0072830,2020-11-13,2020-08,2020-11-19
EPIC 201238110 b,EPIC 201238110,TIC 35019000,Gaia DR2 3600975145895223040,1,1,1,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,28.16560000,0.00270000,-0.00280000,0,,,,,1.870,0.200,-0.450,0,0.167,0.018,-0.040,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.41,0.11,-0.05,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.2590000,1.4140000,-1.3900000,16.0140000,1.1330000,-1.1330000,11.9330000,0.0240000,-0.0240000,15.2612000,0.0005010,-0.0005010,2019-06-03,2019-07,2019-06-13
EPIC 201427007 b,EPIC 201427007,TIC 66664249,Gaia DR2 3698079992771142784,1,1,1,Transit,2021,K2,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.72091000,0.00014000,-0.00014000,0,,,,,1.500,0.200,-0.200,0,0.134,0.018,-0.018,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5633.00,111.00,-111.00,0,0.94,0.09,-0.09,0,,,,,-0.053,0.240,-0.240,0,[Fe/H],4.40,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886,706.3910000,16.7900000,-16.7900000,14.3210000,0.1720000,-0.1720000,12.5810000,0.0290000,-0.0290000,14.1470000,0.0002080,-0.0002080,2021-10-25,2021-08,2021-10-25
EPIC 201497682 b,EPIC 201497682,TIC 301610040,Gaia DR2 3810098271767907840,1,1,1,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2.13174000,0.00022000,-0.00022000,0,,,,,0.692,0.059,-0.048,0,0.062,0.005,-0.004,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.78,0.09,-0.17,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,253.0260000,1.6640000,-1.6640000,13.9480000,0.1830000,-0.1830000,11.4380000,0.0260000,-0.0260000,13.7368000,0.0003230,-0.0003230,2019-06-03,2019-07,2019-06-13
EPIC 201595106 b,EPIC 201595106,TIC 397052808,Gaia DR2 3701123406596146048,1,1,2,Transit,2021,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724000,0.00004000,-0.00004000,0,0.017700,0.000300,-0.000300,0,1.565,0.079,-0.079,0,0.140,0.007,-0.007,0,7.67000,0.75000,-0.75000,0,0.02413,0.00236,-0.00236,0,Mass,0.000000,,,0,2852.00,107.00,-107.00,0,2038,39,-39,0,0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,,5679.00,60.00,-39.00,0,0.98,0.03,-0.03,0,0.96,0.05,-0.05,0,0.010,0.100,-0.100,0,[Fe/H],4.43,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1000000,2.7060000,-2.6460000,11.7460000,0.0690000,-0.0690000,10.2180000,0.0210000,-0.0210000,11.6477000,0.0002450,-0.0002450,2025-01-29,2024-11,2025-01-29
EPIC 201615463 c,K2-166,TIC 377171980,Gaia DR2 3701015375282968064,1,1,2,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,3.80464000,0.00091000,-0.00105000,0,,,,,1.220,0.210,-0.170,0,0.109,0.019,-0.015,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,1.07,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,476.8820000,9.6920000,-9.3210000,12.0810000,0.0460000,-0.0460000,10.6370000,0.0220000,-0.0220000,11.9456000,0.0002360,-0.0002360,2019-06-03,2019-07,2019-06-13
EPIC 201754305 d,K2-16,TIC 281886199,Gaia DR2 3897048338487064064,1,1,3,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2.71578000,0.00031000,-0.00031000,0,,,,,1.030,0.085,-0.086,0,0.092,0.008,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.67,0.03,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h40m23.33s,175.0972238,+04d33m26.75s,4.5574311,334.9670000,4.1785000,-4.1785000,14.6680000,0.1370000,-0.1370000,12.0870000,0.0230000,-0.0230000,14.3234000,0.0003590,-0.0003590,2019-06-03,2019-07,2019-06-13
EPIC 201757695.02,EPIC 201757695,TIC 380546118,,1,1,1,Transit,2020,K2,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,2.04780000,0.00010000,-0.00010000,0,0.029600,0.000500,-0.000500,0,0.908,0.059,-0.064,0,0.081,0.005,-0.006,0,,,,,,,,,,0.000000,,,0,,,,,,,,,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,4520.00,108.00,-54.00,0,0.66,0.04,-0.04,0,0.73,0.04,-0.05,0,-0.003,0.120,-0.300,0,[Fe/H],4.66,0.04,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303,,,,14.9740000,0.1370000,-0.1370000,12.1490000,0.0260000,-0.0260000,,,,2020-11-13,2020-08,2020-11-19
EPIC 201833600 c,K2-50,TIC 363444743,Gaia DR2 3817000078053804672,1,1,2,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,3.96151000,0.00046000,-0.00051000,0,,,,,1.000,0.120,-0.110,0,0.089,0.011,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.61,0.06,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890,257.4430000,3.2390000,-3.2390000,14.7050000,0.1600000,-0.1600000,11.6640000,0.0230000,-0.0230000,14.2575000,0.0005130,-0.0005130,2019-06-03,2019-07,2019-06-13
